state,newspaper,total,preelection,postelection,circulation,battleground,restrlaws2012,pct_black,pct_white,pct_hispanic,pct_presvote_2008,pct_massconserv,vep08_turnout,pct_alec,cases,allcases,gop_unified_state
New Hampshire,Union-Leader,11,8,3,45536,0,1,1.7,93.9,2.8,54.13,29.655172,71.3,5.896226415,0,20,0
New Jersey,Star Ledger,20,16,4,246006,0,0,14.8,68.6,17.7,57.14,30.560272,66.2,6.666666667,1,44,0
New Mexico,Albuquerque Journal,4,3,1,90471,0,0,2.8,68.4,46.3,56.91,26.092233,60.3,16.07142857,9,10,0
New York,Daily News,7,2,5,544167,0,0,17.2,65.7,17.6,62.88,28.663833,58,1.408450704,1,18,0
North Carolina,Charlotte Observer,27,23,4,167585,1,0,22.6,68.5,8.4,49.7,38.309767,65.8,18.23529412,0,22,1
North Dakota,Bismarck Tribune,12,11,1,31081,0,0,1.6,90,2,44.47,42.942943,65,21.27659574,0,3,1
Ohio,Plain Dealer,14,7,7,271180,1,1,13.4,82.7,3.1,51.38,33.626883,66.7,27.27272727,2,77,1
Oklahoma,Daily Oklahoma,2,2,0,143803,0,0,8.7,72.2,8.9,34.35,41.737781,56.7,24.83221477,0,1,1
Oregon,Oregonian,5,4,1,249163,0,0,2.6,83.6,11.7,56.75,31.132783,67.8,20,0,33,0
Pennsylvania,Philadelphia Inquirer,40,29,11,361480,0,1,11.9,81.9,5.7,54.47,31.7057,64.2,23.3201581,1,23,1
Rhode Island,Providence Journal,24,24,0,106875,0,1,7.4,81.4,12.4,62.86,23.076923,62.5,4.424778761,0,5,0
South Carolina,Post and Courier,28,19,9,89224,0,1,28.8,66.2,5.1,44.9,38.523392,58.6,12.94117647,0,1,1
South Dakota,Aberdeen American News,13,10,3,15000,0,1,1.8,85.9,2.7,44.75,39.153439,63.8,18.0952381,0,1,1
Tennessee,Knoxville News Sentinel,7,5,2,98381,0,1,17.4,77.6,4.6,41.79,39.134662,57.3,28.78787879,5,14,1
Texas,Dallas Morning News,7,7,0,263810,0,1,12.6,70.4,37.6,43.63,39.690808,54.7,30.38674033,0,104,1
Utah,Salt Lake Tribune,3,3,0,113032,0,0,1.6,86.1,13,34.22,39.101717,53.3,24.03846154,0,51,1
Vermont,Rutland Herald,4,3,1,12000,0,0,1.5,95.3,1.5,67.46,22.377622,66.7,1.666666667,0,0,0
Virginia,Richmond Times Dispatch,22,16,6,115431,1,1,20.7,68.6,7.9,52.63,33.938224,67.7,24.28571429,0,35,0
Washington,Seattle PI,3,2,1,263588,0,0,4.8,77.3,11.2,57.34,31.29737,67,10.88435374,1,270,0
West Virginia,Charleston Gazette,25,20,5,59896,0,1,4.2,93.9,1.2,42.51,35.277778,50.6,4.47761194,0,16,0
Wisconsin,Milwaukee Journal Sentinel,18,8,10,190841,1,1,7.1,86.2,5.9,56.22,32.745007,72.5,32.57575758,6,57,1
Wyoming,Wyoming Tribune-Eagle,0,0,0,16500,0,0,1.3,90.7,8.9,32.54,34.196891,65.4,25.55555556,1,4,1
