Group,Exploration,Lesson Page,Due by_long,Due by_short,Required,Course or Project Name,Chapters_long,Chapters_wide
8,,,,,,,Sentiment Analysis the Tidytext Way,
8,,,,,,,Visualizing Sentiment,
8,,,,,,,Case Study: Airbnb Reviews,
,,,,,,,,
9,9,[Week 9](/lesson/09-lesson/),3/31/21,3/31/21,checked,Network Analysis in the Tidyverse,The Hubs of the Network,"The Hubs of the Network, In Its Weakness Lies Its Strength, Connection Patterns, Similarity Clusters"
9,,,,,,,In Its Weakness Lies Its Strength,
9,,,,,,,Connection Patterns,
9,,,,,,,Similarity Clusters,
9,,,,,,,,
9,,,3/31/21,,checked,Visualizing Geospatial Data in R,Basic Mapping with `ggplot2` and `ggmap`,"Basic Mapping with `ggplot2` and `ggmap`, Point and Polygon Data, Raster Data and Color, Data Import and Projections"
9,,,,,,,Point and Polygon Data,
9,,,,,,,Raster Data and Color,
9,,,,,,,Data Import and Projections,
,,,,,,,,
10,10,[Week 10](/lesson/10-lesson/),4/7/21,4/7/21,checked,Building Web Applications with Shiny in R,Get Started with Shiny,"Get Started with Shiny, Inputs, Outputs, and Layouts, Reactive Programming, Build Shiny Apps"
10,,,,,,,"Inputs, Outputs, and Layouts",
10,,,,,,,Reactive Programming,
10,,,,,,,Build Shiny Apps,
10,,,,,,,,
10,,,4/7/21,,checked,Case Studies: Building Web Applications with Shiny in R,Shiny Review,"Shiny Review, Make the Perfect Plot Using Shiny, Explore a Dataset Interactively With Shiny ,Create Your Own Word Cloud in Shiny"
10,,,,,,,Make the Perfect Plot Using Shiny,
10,,,,,,,Explore a Dataset Interactively With Shiny,
10,,,,,,,Create Your Own Word Cloud in Shiny,
,,,,,,,,
11,11,[Week 11](/lesson/11-lesson/),4/14/21,4/14/21,checked,Introduction to Tableau,Getting Started with Tableau,"Getting Started with Tableau, Building and Customizing Visualizations, Digging Deeper, Presenting Your Data"
11,,,,,,,Building and Customizing Visualizations,
11,,,,,,,Digging Deeper,
11,,,,,,,Presenting Your Data,
11,,,,,,,,
11,,,4/14/21,,checked,Connecting Data in Tableau,Combining and Saving Data,"Combining and Saving Data, Managing and Connecting Data"
11,,,,,,,Managing and Connecting Data,
,,,,,,,,
12,12,[Week 12](/lesson/12-lesson/),4/21/21,4/21/21,checked,Analyzing Data in Tableau,Preparing for Analysis,"Preparing for Analysis, Exploring Visualizations, Mapping Analysis, Groups, Sets, and Parameters"
12,,,,,,,Exploring Visualizations,
12,,,,,,,Mapping Analysis,
12,,,,,,,"Groups, Sets, and Parameters",
,,,,,,,,
13,12,[Week 13](/lesson/13-lesson/),4/28/21,4/28/21,checked,Creating Dashboards in Tableau,Getting Started With Dashboards,"Getting Started With Dashboards, Sharing Data Insights"
13,,,,,,,Sharing Data Insights,
,,,,,,,,
EC1,EC1,[Week 14](/lesson/14-lesson/),5/3/21,5/3/21,unchecked,Analyzing Survey Data in R,Introduction to survey data,"Introduction to survey data, Exploring categorical data, Exploring quantitative data, Modeling quantitative data"
EC1,,,,,,,Exploring categorical data,
EC1,,,,,,,Exploring quantitative data,
EC1,,,,,,,Modeling quantitative data,
,,,,,,,,
EC2,EC2,[Week 14](/lesson/14-lesson/),5/3/21,5/3/21,unchecked,Communicating with Data in the Tidyverse,Custom `ggplot2` Themes,"Building Static Dashboards, Building Dynamic Dashboards, Customizing Style, Case Study"
EC2,,,,,,,Creating a Custom and Unique Visualization,
EC2,,,,,,,Introduction to Rmarkdown,
EC2,,,,,,,Customizing your RMarkdown Report,
,,,,,,,,
EC3,EC3,[Week 14](/lesson/14-lesson/),5/3/21,5/3/21,unchecked,Building Dashboards with `shinydashboard`,Building Static Dashboards,"Building Static Dashboards, Building Dynamic Dashboards, Customizing Style, Case Study"
EC3,,,,,,,Building Dynamic Dashboards,
EC3,,,,,,,Customizing Style,
EC3,,,,,,,Case Study,
