Cores,Type,Title,PI,Direct,Indirect,Funding
Admin,federal,PERK Dependent Mechanisms of Neuroinflammation,"Meares, Gordon",218750,109375,328125
CRRF,industry,"Ph2 Study of Durvalumab Alone or in Combo w/Novel Agents for Advanced, Unresectable Stage 3 NSCLC","Almubarak, Mohammed",2769.84,720.16,3490
CRRF,industry,"Phase 3 Study of Pom, Bortez, LD-Dex vs Bortez, LD-Dex in R/R MM","Craig, Michael",1266.29,329.24,1595.53
CRRF,other,Phase IV Registry Trial of Targeted Intraoperative Radiation Therapy Following Breast-Conserving Surgery,"Jacobson, Geraldine",1428.57,371.43,1800
CRRF,industry,preventive TReatment of mIgraine: oUtcoMes for Patients in real-world Healthcare systems (TRIUMPH),"Najib, Umer",5556,1444,7000
CEO,other,Program Project to Address Cervical Cancer Disparities in Appalachia,"Kennedy-Rea, Stephenie",52271.85,26238.75,78510.6
CRRF,other,Proposal to Provide Tele-genetics Consultation,"Falah, Nadia",19736,10263,29999
ADMIN,federal,Proteasome Function in Alzheimer's Disease,"Smith, David",303162,157644,460806
CRRF,industry,Randomized Trial of SPI-2012 Versus Pegfilgrastim in the Management of Chemotherapy Induced Neutropenia in Breast Cancer Patients Receiving Docetaxel and Cylcophosphamide (ADVANCE),"Kurian, Sobha",5888.18,1531.37,7419.55
Pilot,federal,Rapid Pulse Confirmation (RPC) device,"Ritchie, Michael",45000,5000,50000
"CRRF, CRDEB",industry,"SOLOIST - A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter Study to Evaluate the Effects of SOtagLiflozin on Clinical Outcomes in HemOdynamIcally STable Patients with Type 2 Diabetes POST Worsening Heart Failure","Sokos, George",-793.65,-206.35,-1000
CEO,state,State Opioid Response Center of Excellence for Addiction Medicine,"Haut, Marc",603774,196226,800000
PD,state,Statewide Collaborative Recruitment and Retention Plan & Report for the WV State Office of Rural Health Division of Rural Health and Recruitment,"Vestal, April",26228,8524,34752
Admin,federal,Tumor Microenvironment-TME CoBRE,"Lockman, Paul",372270,186136,558406
PD,other,West Virginia AWARE (Asking Women About Relationship Experiences),"Davidov, Danielle",32557,10581,43138
CEO,other,West Virginia Project AWARE (Advancing Wellness and Resilience Education) State Education Agency Grants Evaluation,"Jarrett, Traci",135849,44151,180000
CRRF,state,WV Breast and Cervical Cancer Screening Program,"Eason, Susan",115530,11553,127083
CEO,federal,WV Program to Increase Colorectal Cancer Screening,"Kennedy-Rea, Stephenie",558394,165342,723736
