Cores,Type,Title,PI,Direct,Indirect,Funding
CRRF,Other,"Implementation and Utilization of an Adult Dental Benefit in Medicaid: Evaluating the Impact on Oral Health, Overall Wellness, and Economic Benefit","Panagakos, Fotinos",215153,32273,247426
"ADMIN, CRRF",Industry,Vielight Neuro RX Gamma Photobiomodulation Device for Moderate to Severe Alzheimer's Disease,"Rezai, Ali",18874,4907.37,23781.37
"ADMIN, CRRF",Industry,Monitoring Vital Signs with a Wireless Ingestible Device in Subjects Undergoing Polysomnography,"Rezai, Ali",600,216,816
PD,Federal,Using Novel Machine Learning Methods to Personalize Strategies for Prevention of Persistent AKI after Cardiac Surgery,"Sakhuja, Ankit",717751,57420,775171
CRRF,Industry,"A Phase 1/2 Multicenter, Open-label Study to Assess the Safety, Pharmacokinetics, and Efficacy of CC-92480 Monotherapy and in Combination with Dexamethasone in Subjects with Relapsed and Refractory Multiple Myeloma (RRMM)","Sdrimas, Konstantinos",357936,93063,450999
CEO,State,SOR II Year 2 - SOR-Medical Services,"Sheppard, Ashley",1545831,386207,1932038
CRRF,Industry,A Phase 3 Multicenter Study of Gleolan (Aminolevulinic Acid Hydrochloride) to Enhance Visualization of Tumor in Patients With Newly Diagnosed or Recurrent Meningiomas,"Sherman, Jonathan",118950,30927,149877
CRRF,Other,Endoscopic Ultrasound-guided Radiofrequency Ablation of Celiac Ganglion for pain management and improvement of quality of life in patients with inoperable pancreatic cancer,"Singh, Shailendra",34496,0,34496
TECH,Federal,Functional imaging of thick bioprinted constructs,"Tseytlin, Mark",1000000,474240,1474240
PILOT,Federal,CCND1 Transcript Overexpression as a Novel Driver in 11q13-amplified HNSCC,"Weed, Scott",275000,143000,418000
