Cores,Type,Title,PI,Direct,Indirect,Funding
CRRF,Industry,"An Open-Label, Randomized, Phase III Trial of BMS-936558 vs Docetaxel in Previously Treated Metastatic Non-Squamous Non-Small Cell Lung Cancer (NSCLC)","Almubarak, Mohammed",11508,2992,14500
"CRRF, PD",Industry,"A Phase 3, Randomized, Double-Blind Study of Pamrevlumab or Placebo in combination with Gemcitabine Plus Nab-Paclitaxel as Neoadjuvant Treatment in Patients with Locally Advanced Unresectable Pancreatic Cancer","Malla, Midhun",9127,2373,11500
CRRF,Industry,PVSRIPO with and without Immune Checkpoint Blockade in Advanced PD-1 Refractory Melanoma,"Kolodney, Joanna",8333,2167,10500
CRRF,Industry,Outcomes of Cutaneous Melanoma Patients Clinically Tested DecisionDx(R)-Melanoma,"Thomay, Alan",7936.51,2063.49,10000
CRRF,Other,STATINS USE IN INTRACEREBRAL HEMORRHAGE PATIENTS (SATURN),"Smith, Matthew",981.51,412.24,1393.75
ADMIN,Other,Building an Innovative Ethno-Geographic Information System (EGIS) to Address Opioid Overdose Disparities in Inland Southern California,"Pollini, Robin",10893,5664,16557
CRDEB,Other,Drug Free Moms and Babies,"Lilly, Christa",33500,0,33500
CRRF,Other,An Open-Label Phase II Trial to Evaluate the Efficacy and Safety of Neoadjuvant Doxorubicin Plus Cyclophosphamide Followed by Weekly Paclitaxel Plus Trastuzumab and Pertuzumab in Early Stage HER2-Negative Breast Cancer Patients Selected with a Test Measuri,"Kurian, Sobha",1111.11,288.89,1400
CRRF,Other,NRG Oncology Foundation Inc. Funding WV025 Industry,"Jacobson, Geraldine",1108,288,1396
CRRF,Other,"A Randomised, Multicentre, Double-blind, Placebo-controlled, Ph III Study of Carboplatin and Paclitaxel in Combination with Durvalumab, Followed by Maintenance Durva. with or without Olaparib in Newly Diagnosed Advanced or Recurrent Endometrial Ca","Turner, Valerie",18125,4712.5,22837.5
CEO,State,State Opioid Response Center of Excellence for Addiction Medicine,"Haut, Marc",603774,196226,800000
