Cores,Type,Title,PI,Direct,Indirect,Funding
CRRF,Other,A Phase II Clinical Trial of Pembrolizumab in Combination with the AE37 Peptide Vaccine in Patients with Metastatic Triple Negative Breast Cancer,"Kurian, Sobha",1120,280,1400
CRRF,Other,An Open-Label Phase II Trial to Evaluate the Efficacy and Safety of Neoadjuvant Doxorubicin Plus Cyclophosphamide Followed by Weekly Paclitaxel Plus Trastuzumab and Pertuzumab in Early Stage HER2-Negative Breast Cancer Patients Selected with a Test Measuri,"Kurian, Sobha",3531.33,918.67,4450
CRRF,Other,NSABP Treatment Protocols TIND 133 (Industry),"Jacobson, Geraldine",1460,380,1840
CRRF,Other,A Phase II Study to Assess the Activity of PD-L1 Inhibition with Durvalumab (MEDI4736) after Chemo-Radiotherapy in Patients with Stage II-IV Microsatellite Stable (MSS) Rectal Cancer,"Pahuja, Shalu",4186.52,1088.48,5275
"CRRF, ADMIN",Other,Randomized Master Protocol for Immune Modulators for Treating COVID-19,"Reece, Rebecca",6579,3421,10000
"PILOT, PD",Other,Cerebral Vascular Dysfunction and Stroke in Offspring Exposed to Maternal Vaping,"Olfert, Ivan",681816,68184,750000
"ADMIN, CRRF",State,Foundation of the Vaccine Development at WVU,"Damron, Fredrick",260000,0,260000
CEO,State,Improving Access to Medication Assisted Treatment for Opioid Use Disorder and Achieving Sustainability of Services,"Haut, Marc",1451641,248359,1700000
CEO,State,Emergency Medicine Department Based Peer Recovery Support Services for OUD.,"Berry, James",264150,85849,349999
"CEO, ADMIN",State,Collecting Violent Death Information Using the National Violent Death Reporting System (NVDRS),"Bossarte, Robert",37218,12096,49314
PD,State,Medicaid 1115 SUD Waiver Evaluation Project,"Allen, Lindsay",236260.35,76784.61,313044.96
PD,State,Prescription Drug/Opiate Overdose Grant (PDO),"Rudisill, Toni",60016,19505,79521
