affiliation,pmid,lon,lat,Country,Address
"Department Of Pharmaceutical Systems And Policy, West Virginia University School Of Pharmacy, Morgantown, Wv 26506-9510 Usa.",32565345,-79.9582192,39.655109,United States,"Robert C. Bryd Health Sciences Center, 5706 Health Sciences Ctr S, Morgantown, Wv 26506, Usa"
"Department Of Pharmaceutical Systems And Policy, West Virginia University School Of Pharmacy, Morgantown, Wv 26506-9510 Usa. Electronic Address: Usambamoorthi@Hsc.wvu.edu.",32565345,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Medicine, West Virginia University, Morgantown, West Virginia, Usa.",32552561,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Section Of Gastroenterology And Hepatology, West Virginia University, Morgantown, West Virginia, Usa.",32552561,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Md/Phd Medical Scientist Program, West Virginia University School Of Medicine, Morgantown, Wv 26506 Usa.",32550263,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Cancer Institute, West Virginia University School Of Medicine, Morgantown, Wv 26506 Usa.",32550263,-79.9584371,39.6539232,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Division Of Exercise Physiology, Department Of Human Performance, West Virginia University School Of Medicine, Morgantown, Wv 26506 Usa.",32550263,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Genomics Core Facility, West Virginia University, Morgantown, Wv 26506 Usa.",32550263,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"West Virginia School Of Osteopathic Medicine, Lewisburg, Wv 24901 Usa.",32550263,-80.4381192,37.8040415,United States,"400 N Lee St, Lewisburg, Wv 24901, Usa"
"Department Of Surgery, West Virginia University School Of Medicine, Morgantown, Wv 26506 Usa.",32550263,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Biochemistry, West Virginia University School Of Medicine, Morgantown, Wv 26506 Usa.",32550263,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Microbiology, Immunology, And Cell Biology, West Virginia University School Of Medicine, Morgantown, Wv 26506 Usa.",32550263,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"West Virginia Clinical And Translational Sciences Institute, West Virginia University School Of Medicine, Morgantown, Wv 26506 Usa.",32550263,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Pharmaceutical Sciences, School Of Pharmacy, West Virginia University, Morgantown, Wv, 26506, Usa.",32542924,-79.9582192,39.655109,United States,"Robert C. Bryd Health Sciences Center, 5706 Health Sciences Ctr S, Morgantown, Wv 26506, Usa"
"In Vivo Multifunctional Magnetic Resonance Center, Robert C. Byrd Health Sciences Center, West Virginia University, Morgantown, Wv, 26506, Usa.",32542924,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Neurosurgery, West Virginia University, Morgantown, West Virginia, Usa. Electronic Address: Gkatsev@Gmail.com.",32540284,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Pharmacy, Wvu Medicine, Morgantown, West Virginia, Usa.",32540284,-79.9574781,39.6534472,United States,"1 Medical Center Dr, Morgantown, Wv 26505, Usa"
"West Virginia Clinical And Translational Science Institute, West Virginia University Health Sciences Center Erma Byrd Biomedical Research Center, Morgantown, West Virginia, Usa.",32540284,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Pharmacy, Cabell Huntington Hospital, Huntington, West Virginia, Usa.",32540284,-82.4263569,38.4094534,United States,"1340 Hal Greer Boulevard, Huntington, Wv 25701, Usa"
"Department Of Neurosurgery, Marshall University, Huntington, West Virginia, Usa.",32540284,-82.42641449999999,38.4235252,United States,"1 John Marshall Dr, Huntington, Wv 25755, Usa"
"Department Of Neurosurgery, West Virginia University, Morgantown, West Virginia, Usa.",32540284,-79.9574781,39.6534472,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Medicine, West Virginia University, Morgantown, West Virginia. Electronic Address: Safinmc@Gmail.com.",32534735,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Medicine, University Of Pittsburgh Medical Center/Mckeesport, Mckeesport, Pennsylvania.",32534735,-79.83725849999999,40.3545655,United States,"2347 5th Ave, Mckeesport, Pa 15132, Usa"
"Department Of Medicine, West Virginia University, Morgantown, West Virginia.",32534735,-79.9574781,39.6534472,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Medicine, John H. Stroger, Jr. Hospital Of Cook County, Chicago, Illinois.",32534735,-87.67369,41.8728476,United States,"1969 Ogden Ave, Chicago, Il 60612, Usa"
"Division Of Cardiology, University Of Arizona College Of Medicine, Phoenix, Arizona.",32534735,-112.0655653,33.4532618,United States,"475 N 5th St, Phoenix, Az 85004, Usa"
"Cardiovascular Division, Brigham And Women's Hospital, Boston, Massachusetts.",32534735,-71.1067067,42.3360887,United States,"75 Francis St, Boston, Ma 02115, Usa"
"Ciccarone Center For The Prevention Of Cardiovascular Disease, Johns Hopkins School Of Medicine, Baltimore, Maryland.",32534735,-76.59273619999999,39.2967385,United States,"1800 Orleans St, Baltimore, Md 21287, Usa"
"Departments Of Cardiology And Vascular Medicine, Charleston Area Medical Center (Camc) Institute For Academic Medicine And Camc Health Education And Research Institute , Charleston, Wv, Usa.",32510250,-81.6025726,38.3282821,United States,"3211 Maccorkle Ave Se, Charleston, Wv 25304, Usa"
"Charleston Division, Department Of Cardiology, West Virginia University School Of Medicine , Charleston, Wv, Usa.",32510250,-81.6043107,38.3302019,United States,"3110 Maccorkle Ave Se, Charleston, Wv 25304, Usa"
"The Zena And Michael A. Wiener Cardiovascular Institute, Icahn School Of Medicine At Mount Sinai, And The Cardiovascular Research Foundation , New York City, Ny, Usa.",32510250,-73.9533616,40.78986949999999,United States,"1 Gustave L. Levy Pl, New York, Ny 10029, Usa"
"Department Of Pharmacology, University Of California Davis , Davis, Ca, Usa.",32510250,-121.7652252,38.5350989,United States,"451 Health Sciences Dr., Davis, Ca 95616, Usa"
"Department Of Vascular Medicine, University Medical Center Utrecht, Utrecht University , Utrecht, The Netherlands.",32510250,5.179913099999999,52.0865646,Netherlands,"Heidelberglaan 100, 3584 Cx Utrecht, Netherlands"
"University Of Pittsburgh School Of Medicine, Pittsburgh, Pa, Usa.",32503395,-79.9613241,40.4431287,United States,"3550 Terrace St, Pittsburgh, Pa 15213, Usa"
"Upmc Western Psychiatric Hospital, Pittsburgh, Pa, Usa.",32503395,-79.9599752,40.4434742,United States,"3811 O'hara St, Pittsburgh, Pa 15213, Usa"
"Ohio State University, Morgantown, Wv, Usa.",32503395,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"University Of Oklahoma Health Sciences Center, Oklahoma City, Ok, Usa.",32503395,-97.5048466,35.4742188,United States,"865 Research Pkwy, Oklahoma City, Ok 73104, Usa"
"Department Of Epidemiology, School Of Public Health, West Virginia University, Morgantown, Wv 26506, Usa.",32486182,-79.9581007,39.654813,United States,"Morgantown, Wv 26506, Usa"
"Department Of Epidemiology And Biostatistics, College Of Public Health And Health Informatics, King Saud Bin Abdulaziz University For Health Sciences, Riyadh 11481, Saudi Arabia.",32486182,46.857191,24.758138,Saudi Arabia,"Ar Rimayah, Riyadh 14611, Saudi Arabia"
"Department Of Social And Behavioral Sciences, School Of Public Health, West Virginia University, Morgantown, Wv 26506, Usa.",32486182,-79.9581007,39.654813,United States,"Morgantown, Wv 26506, Usa"
"Department Of Biostatistics, School Of Public Health, West Virginia University, Morgantown, Wv 26506, Usa.",32486182,-79.9581007,39.654813,United States,"Morgantown, Wv 26506, Usa"
"Biostatistics, Epidemiology And Scientific Computing Department, King Faisal Specialist Hospital And Research Centre, Riyadh 11211, Saudi Arabia.",32486182,46.6789229,24.6702825,Saudi Arabia,"Zahrawi St, Al Maather، Al Maazer, Riyadh 12713, Saudi Arabia"
"King Salman Center For Disability Research, Riyadh 12512, Saudi Arabia.",32486182,46.6752957,24.7135517,Saudi Arabia,Riyadh Saudi Arabia
"Sabic Psychological Health Research &Amp; Applications Chair (Sphrac), College Of Medicine, King Saud University, Riyadh 12372, Saudi Arabia.",32486182,99,99,Saudi Arabia,NA
"National Center For Mental Health Promotion, Ministry Of Health, Riyadh 11525, Saudi Arabia.",32486182,46.6752957,24.7135517,Saudi Arabia,Riyadh Saudi Arabia
"Edrak Medical Center, Riyadh 12281, Saudi Arabia.",32486182,46.663444,24.748456,Saudi Arabia,"Imam Saud Ibn Abdul Aziz Branch Rd, Al Muruj، Al Muruj, Riyadh 12281, Saudi Arabia"
"Division Of Cardiovascular Medicine, West Virginia University Heart And Vascular Institute, Morgantown, Wv, Usa.",32485327,-79.9574781,39.6534472,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Division Of Cardiovascular Medicine, West Virginia University Heart And Vascular Institute, Morgantown, Wv, Usa; Division Of Cardiovascular Medicine, University Of California San Diego, La Jolla, Ca, Usa. Electronic Address: Muhamad.munir@Hsc.wvu.edu.",32485327,-117.2340135,32.8800604,United States,"9500 Gilman Dr, La Jolla, Ca 92093, Usa"
"Department Of Medicine, Section Of Cardiovascular Disease, University Of Oklahoma Health Sciences Center, Oklahoma City, United States Of America. Electronic Address: Zain-Asad@Ouhsc.edu.",32473910,-97.5048466,35.4742188,United States,"865 Research Pkwy, Oklahoma City, Ok 73104, Usa"
"Department Of Internal Medicine, West Virginia University, Morgantown, Wv, United States Of America.",32473910,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Medicine, Section Of Cardiovascular Disease, University Of Oklahoma Health Sciences Center, Oklahoma City, United States Of America.",32473910,-97.5048466,35.4742188,United States,"865 Research Pkwy, Oklahoma City, Ok 73104, Usa"
"Department Of Medicine, University Of Illinois At Chicago, Chicago, Il, United States Of America.",32473910,-87.6496336,41.8697938,United States,"1200 W Harrison St, Chicago, Il 60607, Usa"
"Sutter Tracy Community Hospital, Sutter Medical Network, Tracy, Ca, United States Of America.",32473910,-121.4343074,37.7440116,United States,"1420 N Tracy Blvd, Tracy, Ca 95376, Usa"
"Department Of Medicine, Long Beach Veterans Affairs Healthcare System, Long Beach, Ca, United States Of America.",32473910,-118.1186017,33.778452,United States,"5901 E 7th St, Long Beach, Ca 90822, Usa"
"Department Of Internal Medicine, John H Stroger, Jr Hospital Of Cook County, Chicago, United States Of America.",32473910,-87.67369,41.8728476,United States,"1969 Ogden Ave, Chicago, Il 60612, Usa"
"Division Of Cardiology, Duke Clinical Research Institute, Durham, Nc, United States Of America.",32473910,-78.90006149999999,35.9990488,United States,"300 W Morgan St, Durham, Nc 27701, Usa"
"Division Of Hematology-Oncology, West Virginia University, Morgantown, Wv, Usa.",32473105,-79.9584371,39.6539232,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Program For Comparative Effectiveness Research, Morsani College Of Medicine, University Of South Florida, Tampa, Fl, Usa.",32473105,-82.4241899,28.06429,United States,"12901 Bruce B Downs Blvd, Tampa, Fl 33612, Usa"
"Faculty Of Medicine, American University Of Beirut, Beirut, Lebanon.",32473105,35.480744,33.9008359,Lebanon,"American University Of Beirut, Beirut, Lebanon"
"Division Of Hematology-Oncology And Blood And Marrow Transplantation Program, Mayo Clinic, Jacksonville, Fl, Usa.",32473105,-81.4442146,30.2629037,United States,"4500 San Pablo Rd S, Jacksonville, Fl 32224, Usa"
"Department Of Malignant Hematology, Moffitt Cancer Center, Tampa, Fl, Usa.",32473105,-82.42166519999999,28.0640091,United States,"12902 Usf Magnolia Drive, Tampa, Fl 33612, Usa"
"Division Of Hematology-Oncology And Blood And Marrow Transplantation Program, Mayo Clinic, Jacksonville, Fl, Usa. Electronic Address: Kharfandabaja.mohamed@Mayo.edu.",32473105,-81.65565099999999,30.3321838,United States,"Jacksonville, Fl, Usa"
"Departments Of Cardiology And Internal Medicine (E.p.n., J.k.), Nicolaus Copernicus University, Antoni Jurasz University Hospital No. 1, Bydgoszcz, Poland.",32468837,18.5711994,53.0195187,Poland,"Jurija Gagarina 11, 87-100 Toruń, Poland"
"Faculty Of Medicine, University Of Alberta, Edmonton, Canada (E.p.n.,).",32468837,-113.5242356,53.5206876,Canada,"University Of Alberta, Edmonton, Ab T6g 2r3, Canada"
"Systematic Investigation And Research On Interventions And Outcomes (Sirio) Medicine Research Network, Bydgoszcz, Poland (E.p.n., M.k., J.k.).",32468837,18.0084378,53.12348040000001,Poland,"Bydgoszcz, Poland"
"Department Of Internal Medicine, West Virginia University, Morgantown (S.u.k.).",32468837,-79.9571351,39.6529222,United States,"1 Stadium Dr Ste 3, Morgantown, Wv 26506, Usa"
"Anaesthesiology And Intensive Care (M.k.), Nicolaus Copernicus University, Antoni Jurasz University Hospital No. 1, Bydgoszcz, Poland.",32468837,18.5711994,53.0195187,Poland,"Jurija Gagarina 11, 87-100 Toruń, Poland"
"Department Of Medical Sciences And Uppsala Clinical Research Center, Uppsala University Hospital, Sweden (S.b., L.w., S.j.).",32468837,17.640995,59.8438185,Sweden,"Dag Hammarskjölds Väg 38, 751 85 Uppsala, Sweden"
"Harvard Clinical Research Institute, Boston, Ma (C.p.c.).",32468837,-71.1178271,42.35086099999999,United States,"930 Commonwealth Avenue #3, Boston, Ma 02215, Usa"
"Sinai Center For Thrombosis Research, Sinai Hospital Of Baltimore, Lifebridgehealth, Md (P.a.g.).",32468837,-76.6621962,39.3527435,United States,"2401 W Belvedere Ave, Baltimore, Md 21215, Usa"
"Irccs Multimedica, Sesto San Giovanni, Milan, Italy (S.d.s.).",32468837,9.2188812,45.536576,Italy,"Via Milanese, 300, 20099 Sesto San Giovanni Mi, Italy"
"Centre Of Postgraduate Medical Education, Grochowski Hospital, Warsaw, Poland (A. Budaj).",32468837,20.9531881,52.2860717,Poland,"Marymoncka 99/103, 01-813 Warszawa, Poland"
"Centro Cardiologico Monzino, University Of Milan, Italy (A. Bartorelli, D.t.).",32468837,9.2620922,45.44393710000001,Italy,"Via Carlo Parea, 4, 20138 Milano Mi, Italy"
"Division Of Cardiology, Duke University Medical Center, Durham, Nc (E.m.o., M.t.r.).",32468837,-78.9352159,35.906819,United States,"6301 Herndon Rd, Durham, Nc 27713, Usa"
"Department Of Medicine, West Virginia University, Morgantown, Wv, Usa. Electronic Address: Ziaulislam87@Gmail.com.",32444271,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Division Of Cardiovascular Medicine, Heart &Amp; Vascular Institute, West Virginia University, Morgantown, Wv, Usa.",32444271,-82.3435942,29.6399303,United States,"1600 Sw Archer Rd, Gainesville, Fl 32610, Usa"
"Department Of Medicine, Deccan College Of Medical Sciences, Hyderabad, India.",32444271,78.5071947,17.3403977,India,"Dmrl X Road, Santosh Nagar, Kanchan Bagh, Kanchan Bagh, Hyderabad, Telangana 500058, India"
"Department Of Medicine, West Virginia University, Morgantown, Wv, Usa.",32444271,-79.9573549,39.6534151,United States,"1 Medical Center Dr # 2283, Morgantown, Wv 26506, Usa"
"Division Of Cardiovascular Medicine, Heart &Amp; Vascular Institute, West Virginia University, Morgantown, Wv, Usa; Division Of Cardiovascular Medicine, University Of California San Diego, La Jolla, Ca, Usa.",32444271,-82.3435942,29.6399303,United States,"1600 Sw Archer Rd, Gainesville, Fl 32610, Usa"
"Division Of Cardiology, West Virginia University School Of Medicine, Morgantown, West Virginia.",32439033,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Michigan Health Specialist, Michigan State University, Flint, Michigan.",32439033,-83.6563936,43.0249277,United States,"2700 Robert T Longway Blvd # B, Flint, Mi 48503, Usa"
"Division Of Cardiovascular Medicine, Department Of Medicine, University Of Oxford, Oxford, United Kingdom.",32439033,-1.2543668,51.7548164,United Kingdom,"Oxford Ox1 2jd, Uk"
"Department Of Cardiovascular Diseases, Mayo Clinic School Of Medicine, Rochester, Minnesota.",32439033,-92.46676330000001,44.022597,United States,"200 1st St Sw, Rochester, Mn 55905, Usa"
"Department Of Cardiovascular Diseases, Mayo Clinic School Of Medicine, Rochester, Minnesota. Electronic Address: Alkhouli.mohamad@Mayo.edu.",32439033,-92.4667509,44.0226729,United States,"200 1st St Sw, Rochester, Mn 55905, Usa"
"Department Of Medicine, West Virginia University, Morgantown.",32437574,-79.9574781,39.6534472,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Department Of Medicine, Washington Hospital Health Care System, Fremont, California.",32437574,-121.9792655,37.5573088,United States,"2000 Mowry Ave, Fremont, Ca 94538, Usa"
"Department Of Cardiovascular Medicine, Cleveland Clinic, Cleveland, Ohio.",32437574,-81.62191779999999,41.5025462,United States,"9500 Euclid Ave, Cleveland, Oh 44195, Usa"
"Department Of Medicine, John H. Stroger Cook County Hospital, Chicago, Illinois.",32437574,-87.67369,41.8728476,United States,"1969 Ogden Ave, Chicago, Il 60612, Usa"
"Johns Hopkins School Of Medicine, Ciccarone Center For The Prevention Of Cardiovascular Disease, Baltimore, Maryland.",32437574,-76.5933799,39.2992161,United States,"733 N Broadway, Baltimore, Md 21205, Usa"
"Department Of Cardiovascular Medicine, Mayo Clinic, Rochester, Minnesota.",32437574,-92.46676330000001,44.022597,United States,"200 1st St Sw, Rochester, Mn 55905, Usa"
"Division Of Cardiology, University Of Arizona College Of Medicine, Phoenix.",32437574,-112.0655653,33.4532618,United States,"475 N 5th St, Phoenix, Az 85004, Usa"
"Department Of Medicine, West Virginia University, Morgantown, Wv, Usa.",32435353,-79.9573549,39.6534151,United States,"1 Medical Center Dr # 2283, Morgantown, Wv 26506, Usa"
"Division Of Cardiovascular Medicine, West Virginia University Heart And Vascular Institute, Morgantown, Wv, Usa.",32435353,-79.9574781,39.6534472,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"Section Of Electrophysiology, Division Of Cardiovascular Medicine, University Of California San Diego, La Jolla, Ca, Usa.",32435353,-117.227457,32.876425,United States,"9444 Medical Center Dr, La Jolla, Ca 92037, Usa"
"West Virginia University School Of Public Health, Morgantown (Drs Jarrett And Baus); Wvu Clinical And Translational Science Institute, Morgantown (Drs Jarrett And Cochran); Wvu Office Of Health Services Research, Morgantown (Drs Jarrett And Baus); And West Virginia School Of Osteopathic Medicine, Clinical Science Division, Lewisburg (Dr Cochran). The Authors Acknowledge The Nurses And Staff At Robert C. Byrd Clinic For Their Support And Participation.",32433146,-79.9581007,39.654813,United States,"Morgantown, Wv 26506, Usa"
Department Of Internal Medicine John H. Stroger Jr. Hospital Of Cook County Chicago Il.,32427023,-87.67369,41.8728476,United States,"1969 Ogden Ave, Chicago, Il 60612, Usa"
Department Of Internal Medicine Ziauddin Medical University Karachi Pakistan.,32427023,67.04560599999999,24.9245564,Pakistan,"Ziauddin Chowrangi, Near Allama Rasheed Turabi Rd, Block-B North Nazimabad Town, Karachi, Karachi City, Sindh 74600, Pakistan"
Department Of Internal Medicine Dow University Of Health Sciences Karachi Pakistan.,32427023,67.0577698,24.847903,Pakistan,"Chanesar Goth Masoom Shah Colony, Karachi, Karachi City, Sindh, Pakistan"
Department Of Internal Medicine West Virginia University Morgantown Wv.,32427023,-79.9571351,39.6529222,United States,"1 Stadium Dr Ste 3, Morgantown, Wv 26506, Usa"
Heart And Vascular Center Brigham And Women's Hospital Boston Ma.,32427023,-71.1081799,42.3358174,United States,"70 Francis St, Boston, Ma 02115, Usa"
Division Of Cardiology Duke University Medical Center Durham Nc.,32427023,-78.9360039,36.0032964,United States,"40 Duke Medicine Cir Clinic 2f/2g, Durham, Nc 27710, Usa"
Department Of Medicine University Of Mississippi Medical Center Jackson Ms.,32427023,-90.171256,32.3308034,United States,"2500 N State St, Jackson, Ms 39216, Usa"
Division Of Cardiology Johns Hopkins Ciccarone Center For The Prevention Of Cardiovascular Disease Baltimore Md.,32427023,-76.59273619999999,39.2967385,United States,"1800 Orleans St, Baltimore, Md 21287, Usa"
"Department Of Cancer Biology, Mayo Clinic, Jacksonville, Fl.",32421811,-81.44514559999999,30.2626481,United States,"4500 San Pablo Rd S, Jacksonville, Fl 32224, Usa"
"Division Of Hematology And Oncology, Mayo Clinic, Jacksonville, Fl.",32421811,-81.4414608,30.2627916,United States,"4500 San Pablo Rd S, Jacksonville, Fl 32224, Usa"
"Department Of Immunology, Mayo Clinic, Jacksonville, Fl.",32421811,-81.44514559999999,30.2626481,United States,"4500 San Pablo Rd S, Jacksonville, Fl 32224, Usa"
"Signal Transduction Laboratory, Kogod Aging Center, Department Of Anesthesiology, Mayo Clinic, Rochester, Mn.",32421811,-92.4666893,44.02218149999999,United States,"200 1st St Sw, Rochester, Mn 55905, Usa"
"Department Of Malignant Hematology, Moffitt Cancer Center, Tampa, Fl.",32421811,-82.42166519999999,28.0640091,United States,"12902 Usf Magnolia Drive, Tampa, Fl 33612, Usa"
"Columbia University Medical Center, New York, Ny.",32421811,-73.9414554,40.8409611,United States,"630 W 168th St, New York, Ny 10032, Usa"
"Laboratory Of Immunogenetics, Department Of Medical Science, University Of Turin, Turin, Italy; And.",32421811,7.6889006,45.06942799999999,Italy,"Via Giuseppe Verdi, 8, 10124 Torino To, Italy"
"Mayo Clinic Cancer Center At St. Vincent's Medical Center Riverside, Jacksonville, Fl.",32421811,-81.6898731,30.3072052,United States,"2 Shircliff Way #605, Jacksonville, Fl 32204, Usa"
"West Virginia University, Department Of Dental Practice And Rural Health, School Of Dentistry, 104a Health Sciences Addition, Po Box 9415, Morgantown, Wv 26506, United States Of America. Electronic Address: Rwiener2@Hsc.wvu.edu.",32416258,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"West Virginia University, Department Of Dental Research, School Of Dentistry, 106a Health Sciences Addition, Po Box 9448, Morgantown, Wv 26506, United States Of America. Electronic Address: Cwaters@Hsc.wvu.edu.",32416258,-79.9581012,39.6548131,United States,"1 Medical Center Dr, Morgantown, Wv 26506, Usa"
"West Virginia University, Department Of Epidemiology, School Of Public Health, Robert C Byrd Health Sciences Center North, Room G104c, Morgantown, Wv 26506, United States Of America. Electronic Address: Ruchi.bhandari@Hsc.wvu.edu.",32416258,-79.9580682,39.6549175,United States,"1 Medical Center Dr #1000, Morgantown, Wv 26506, Usa"
"Department Of Biomedical Sciences, West Virginia School Of Osteopathic Medicine, 400 Lee Street North, Lewisburg, Wv.",32408199,-80.4381192,37.8040415,United States,"400 N Lee St, Lewisburg, Wv 24901, Usa"
"Department Of Pharmaceutical Sciences, College Of Pharmacy, West Virginia University, Morgantown, Wv.",32408199,-79.9697147,39.648035900000004,United States,"Morgantown, Wv 26506, Usa"
"Department Of Biomedical Sciences, West Virginia School Of Osteopathic Medicine, 400 Lee Street North, Lewisburg, Wv; Department Of Biomedical Sciences, Burrell College Of Osteopathic Medicine, Las Cruces, Nm.",32408199,-80.4381192,37.8040415,United States,"400 N Lee St, Lewisburg, Wv 24901, Usa"
"Zymo Research Corporation, Irvine, Ca.",32408199,-117.8305017,33.6861339,United States,"17062 Murphy Ave, Irvine, Ca 92614, Usa"
